t,phi,R,N,Zmean,vZ_mean
0.010,3,8.50, 7568.0,-0.001,-2.1443e-01
0.010,3,9.50, 6004.0,-0.002,8.0219e-02
0.010,3,10.50, 4922.0,-0.002,-6.2321e-02
0.010,3,11.50, 3950.0,0.000,-1.4194e-01
0.010,3,12.50, 3153.0,0.005,-1.6952e-01
0.010,3,13.50, 2556.0,0.004,-5.6539e-02
0.010,3,14.50, 1919.0,-0.009,-8.6425e-02
0.010,3,15.50, 1561.0,-0.012,-3.5794e-01
0.010,4,5.50, 13618.0,-0.007,5.9584e-02
0.010,4,6.50, 11366.0,0.000,-4.1075e-02
0.010,4,7.50, 9282.0,-0.000,-3.8323e-01
0.010,4,8.50, 7451.0,-0.002,-2.6250e-01
0.010,4,9.50, 6099.0,-0.003,4.7531e-03
0.010,4,10.50, 4870.0,-0.004,-5.7511e-02
0.010,4,11.50, 3961.0,0.000,-6.7172e-02
0.010,4,12.50, 3157.0,-0.003,-2.1784e-01
0.010,4,13.50, 2496.0,0.001,-4.9717e-01
0.010,4,14.50, 1931.0,-0.006,-2.1958e-01
0.010,4,15.50, 1596.0,-0.001,-1.7811e-01
0.010,5,5.50, 13441.0,-0.004,-2.0644e-02
0.010,5,6.50, 11138.0,0.000,2.0950e-02
0.010,5,7.50, 9264.0,0.003,-2.9621e-01
0.010,5,8.50, 7490.0,-0.004,-3.2120e-02
0.010,5,9.50, 6144.0,-0.000,2.6069e-01
0.010,5,10.50, 4902.0,-0.002,-1.9231e-01
0.010,5,11.50, 3898.0,0.003,-1.1413e-01
0.010,5,12.50, 3139.0,-0.007,-9.9873e-02
0.010,5,13.50, 2500.0,0.003,-3.7903e-01
0.010,5,14.50, 1937.0,0.002,-1.7147e-01
0.010,5,15.50, 1521.0,-0.008,2.5549e-02
0.010,6,5.50, 13323.0,-0.001,2.1608e-01
0.010,6,6.50, 11195.0,0.005,4.9188e-02
0.010,6,7.50, 9095.0,-0.006,-1.0213e-01
0.010,6,8.50, 7529.0,0.002,1.4771e-01
0.010,6,9.50, 6092.0,-0.001,-1.2222e-01
0.010,6,10.50, 4892.0,-0.000,-5.7668e-02
0.010,6,11.50, 3895.0,0.001,-1.2413e-01
0.010,6,12.50, 3174.0,0.001,-1.4726e-01
0.010,6,13.50, 2580.0,-0.006,-2.2162e-01
0.010,6,14.50, 1948.0,-0.012,1.3543e-01
0.010,6,15.50, 1577.0,-0.000,-3.4471e-01
0.010,7,5.50, 13200.0,0.003,-1.8160e-01
0.010,7,6.50, 11103.0,-0.001,1.8345e-01
0.010,7,7.50, 9238.0,-0.000,1.5005e-01
0.010,7,8.50, 7474.0,0.004,-1.6874e-02
